第一部	الْجُزْءُ الْأَوَّل
第二次霍姆斯战役（1281）	مَعْرَكَةُ حِمْصِ الثَّانِيَةِ (679هـ)
‎第二次十字军东侵（1147~1192）	الْحَمْلَةُ الصَّلِيبِيَّةُ الثَّانِيَةُ (حدثت بين عامي 541~587هـ، ووقعت أثنائها مَعْرَكَة حطين 582هـ)
第六次十字军东侵（1228~1229）	الْحَمْلَةُ الصَّلِيبِيَّةُ السَّادِسَةُ (625~626هـ)
第七次十字军东侵（1248~1254）	الْحَمْلَةُ الصَّلِيبِيَّةُ السَّابِعَةُ (646~652هـ)
第三次十字军东侵（1187~1191）	الْحَمْلَةُ الصَّلِيبِيَّةُ الثَّالِثَةُ (بدأت سنة 583~587هـ)
第十次十字军东侵（指：现代的东西双方所存在的对抗状态）	الْحَمْلَةُ الصَّلِيبِيَّةُ الْعَاشِرَةُ (تَعْبِيرٌ مَجَازِيٌّ لِلْوَضْعِ الحَالِيّ بَيْنَ الْعَرَبِ والغَرْب)
第四次十字军东侵（1202）	الْحَمْلَةُ الصَّلِيبِيَّةُ الرَّابِعَةُ (598هـ)
第四煽动；参见：“阿巴斯王朝内战”	الْفِتْنَةُ الرَّابِعَةُ (راجع مادة: الْحَرْبُ الْأَهْلِيَّةُ الْعَبَّاسِيَّةُ)
第五次十字军东侵（1213~1221）	الْحَمْلَةُ الصَّلِيبِيَّةُ الْخَامِسَةُ (609~617هـ)
第一次霍姆斯战役（1260）	مَعْرَكَة حِمْصِ الْأُولَى (659هـ)
第一次十字军东侵（1096）	الْحَمْلَةُ الصَّلِيبِيَّةُ الْأُولَى (489هـ)
蒂博·尼哥罗起义（印度尼西亚反抗荷兰殖民的伊斯兰起义，以蒂博•尼哥罗素丹为领，1825~1830年）	ثَوْرَةُ ديبو نيجيرو (ثَوْرَةٌ إِسْلاَميِةَّ قَادَها "دِيبُونِيجِيرو" - سلطان يوجياكرتا في إِنْدُونِيسْيَا - ضِدَّ الاحْتِلالِ الهُولَنْدِيّ مَا بَيْنَ أَعْوَام 1240~1245هـ)
恩图曼战役（1898年在苏丹恩图曼地区马赫迪雅军队和英国占领军队之间的战役）	مَعْرَكَةُ أُمُّ دُرْمَان، مَعْرَكَة كرري (وَقَعَت بَيْن قُوّاتِ المَهْديَّة السُّودَانية وقُوَّاتِ الاحْتِلال البِرِيطَانِيَّة فِي أم دُرْمَان بِالسُّودان، سنة 1315هـ)
法赫勒之战（阿拉伯穆斯林与沙姆地区的罗马人；635年）	مَعْرَكَةُ فَحْل (بَيْنَ الْمُسْلِمِين وَالرُّوم؛ 13هـ)
嘎迪西叶之战（波斯军队和穆斯林军队之间的战役；伊拉克；636年）	مَعْرَكَةُ الْقَادِسِيَّةُ (بَيْنَ الْمُسْلِمينَ والْفُرْسِ؛ الْعِرَاق؛ 15هـ)
盖迪尔·胡木节（什叶派节日之一，每年伊历12月18日）	يَوْمُ الْغَدِير، يَوْمُ غَدِيرُ خُم (أَحدُ أَعْيَادُ الشِّيعَة؛ فِي 18 من ذي الْحِجَّة كُلَّ عَام)
哈纳费斯之战（穆斯林和罗马人之间的战役；伊拉克；633年）	مَعْرَكَةُ الْخَنَافِسِ (بَيْنَ الْمُسْلِمِين وَالرُّوم؛ الْعِرَاق؛ 12هـ)
哈兹尔之战（穆斯林之间的战役；巴士拉附近；686年）	مَعْرَكَة الْخَازِر (بَيْن الْمُسْلِمِين؛ قُرْبَ الْبَصْرَة؛ 67هـ)
黑奴起义，赞吉起义（伊拉克巴士拉等城市，869~883年）	ثَوْرَةُ الزِّنْجِ (الْعِرَاق؛ 255~270هـ)
呼罗珊穆盖奈尔起义，即：艾布.穆斯林起义	ثَوْرَةُ الْمُقَنَّعِ الْخُرَاسَانِي ، ثَوْرَةُ أَبِي مُسْلِمِ الْخُرَاسَانِيّ
加龙河战役（732年）	مَعْرَكَة بوردو، مَعْرَكَة بُرْذال، مَعْرَكَة وَادِي الْغَارُون (113هـ)
津芝人起义，赞吉起义，黑奴起义（伊拉克，868~883）	ثَوْرَةُ الزِّنْجِ (الْعِرَاق؛ 255~270هـ)
喀喇汗高昌战争（十一世纪左右喀喇汗王朝与高昌佛教王国之间的战争，新疆地区）	حَرْبُ قَاوْ تْشَهَانْغ الْقَرَاخَانِيَّةِ (حَرْبٌ دِينِيَّةٌ قَامَتْ بَيْنَ الْأُسْرَةِ الْقَرَاخَانِيَّةِ الْمُسْلِمَةِ وَأُسْرَةِ قَاوتْشَهانْغ الْبُوذِيَّةِ فِي الْقَرْنِ الْحَادِي عَشَر فِي مَنْطِقَةِ شِينْجِيَانْغ)
卡比尔民族起义（阿尔及利亚反抗法国殖民主义起义之一；1871~1872）	مُقَاوَمَةُ الشَّيْخِ الْمِقْرَانِي (أَحَدُ الِانْتِفَاضَاتِ ضِدَّ الْمُحْتَلِّ الْفِرِنْسِي؛ 1871~1872م)
卡迪西亚战役；参见：“嘎迪西叶之战”	مَعْرَكَةُ الْقَادِسِيَّةِ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
卡尔巴拉惨案（伊拉克—680年）	فَاجِعَةُ كَرْبَلَاء، مَظْلُومِيَّةُ كَرْبَلَاء (مقتل الْحُسَيْن؛ 61هـ)
卡尔巴拉战役（穆斯林之间的战役；680）	مَعْرَكَةُ كَرْبَلَاء، واقِعَةُ ألْطَف (بَيْنَ الْمُسْلِمِين؛ 61هـ)
卡尔洛夫奇条约（欧洲国家与奥斯曼帝国签订的条约之一；1699年）	مُعَاهَدَةُ كارلوڤيتس (مُعَاهَدَةٌ مُوَقَّعَةٌ بَيْنَ الدُّوَلِ الْأُورُبِّيَّة وَالدَّوْلَةُ الْعُثْمَانِيَّة تَنَازَلَتْ بِهَا الدَّوْلَةُ الْعُثْمَانِيَّةُ عَنْ بَعْضِ أَجْزَاءَ مِن أُورُبَّا)
开罗穆斯林反法起义（反对法国的开罗人起义；1798年10月20日；1800年3月20日）	ثَوْرَةُ الْقَاهِرَةِ (الأُولَى والثَّانِيَة؛ 11 جمادى الأولى 1212هـ؛ 24 شّوّال 1214هـ)
凯末尔起义‘革命’（土耳其—1919~1923年）	الثَّوْرَةُ الْكَمَالِيَّةُ (انْتِفَاضَةُ كَمَالُ أَتَاتُورْك ضِدَّ حُكْمِ الْخِلَافَةِ الْعُثْمَانِيَّةِ؛ سَنَوات 1337هـ~1342هـ)
拉拔德地区起义（安达卢斯拉拔德地区穆斯林之间的战役；818年）	وَقْعَةُ الرَّبَض (بَيْنَ الْمُسْلِمِين فِي الْأَنْدَلُس؛ 202هـ)
里达尼亚战役（奥斯曼帝国与马穆鲁克军队；1517年）	مَعْرَكَةُ الرِّيدَانِيَّةِ (بَيْنَ الدَّوْلَةِ الْعُثْمَانِيَّةِ وَالْمَمَالِيكِ فِي الْقَاهِرَةِ؛ 922هـ)
骆驼之战（穆斯林之间的战役；伊拉克；656年）	مَعْرَكَةُ الْجَمَل، وَقْعَةُ الْجَمَل (بَيْنَ الْمُسْلِمين؛ الْعِرَاق؛ 36هـ)
马尔基大比克战役（奥斯曼帝国与马穆鲁克军队大战役；阿勒布；1516年）	مَعْرَكَةُ مَرْجُ دَابِق (بَيْنَ الدولة الْعُثْمَانِيَّةِ وَالْمَمَالِيكُ قُرْبَ حَلَب بِسُورِيَّا؛ 921هـ)
马赫迪耶革命或起义（苏丹；1881~1899）	الثَّوْرَةُ الْمَهْدِيَّةُ (1298~1316هـ)
马赫迪运动；参见：“马赫迪耶革命”	الْحَرَكَةُ الْمَهْدِيَّةُ (راجع مادة: الثَّوْرَةُ الْمَهْدِيَّة)
马斯金之战（穆斯林之间的战役；伊拉克；691年）	مَعْرَكَةُ دِيرِ الْجَثَالِيق (بَيْنَ الْمُسْلِمِين؛ الْعِرَاق؛ 72هـ/691م)
麦加圣寺事件（沙特—1979年）	حَادِثَةُ الْمَسْجِدِ الْحَرَام، حَادِثَةُ الْحَرَمِ الْمَكِّيّ (1400هـ)
曼齐克特战役，曼兹科特之战，曼西科特之战（穆斯林和拜占庭军队之间的战役；土耳其东部；1071年）	مَعْرَكَةُ مَلَاذْكِرد، مَوْقِعَةُ مَلَاذْكِرد (بَيْنَ السَّلَاجِقَةِ والدَّوْلَةِ الْبِيزَنْطِيَّةِ؛ شَرْق تُرْكِيَا؛463هـ)
米迷斯之战（穆斯林和柏柏尔人；阿尔及利亚；688年）	مَعْرَكَةُ ممس (بَيْنَ الْمُسْلِمِين وَالْبَرْبَر فِي الْجَزَائِر؛ 69هـ)
穆盖奈尔起义，即：艾布.穆斯林起义	ثَوْرَةُ الْمُقَنَّع، ثَوْرَةُ أَبِي مُسْلِمِ الْخُرَاسَانِيّ
穆赫塔尔起义（伊拉克—686年）	ثَوْرَةُ الْمُخْتَار (ضِدَّ يَزِيدُ بْنُ مُعَاوِيَة؛ 66هـ)
纳赫拉万之战，纳赫鲁宛之战（穆斯林之间的战役；伊拉克；659）	مَعْرَكَةُ النَّهْرَوَان، وَاقِعَةُ النَّهْرَوَان (بَيْنَ الْمُسْلِمين؛ الْعِرَاق؛ 38هـ)
纳赫鲁宛之战（穆斯林之间的战役；伊拉克；659）	وَاقِعَةُ النَّهْرَوَان (بَيْنَ الْمُسْلِمين؛ الْعِرَاق؛ 38هـ)
纳瓦里诺海战（英法俄联盟与奥斯曼帝国船队海战；1827年）	مَعْرَكَةُ نَافَارِين (آخِرُ مَعْرَكَةٍ بِالسُّفُنِ الشِّرَاعِيَّةِ فِي التَّارِيخِ‏، بَيْنَ أَسَاطِيلِ الْحُلَفَاءِ انْجِلْتِرَا وَفَرَنْسَا وَرُوسْيَا وَأُسْطُولِ الدَّوْلَةِ الْعُثْمَانِيَّةِ، بِمُسَاعَدَةِ الْأُسْطُولِ الْمِصْرِيّ؛ 1242هـ)
尼科波利斯战役（奥斯曼帝国军队与欧洲各国军队；1396年）	مَعْرَكَةُ نيقوبولس (بَيْنَ الدَّوْلَةِ الْعُثْمَانِيَّةِ وجُيُوشِ أُورُبا؛ 798هـ)
普瓦提埃之战，普瓦捷战役（法国南部—732年）	مَعْرَكَةُ بَلَاطِ الشُّهَدَاء، مَعْرَكَةُ تُور، مَعْرَكَةُ بُوَاتِييه (114هـ؛ بين الْمُسْلِمِين بِقِيَادَةِ عَبْدِ الرَّحْمَن الْغَافِقِي، وَشَارْل مَارْتَل فِي جَنُوبِ فَرنْسَا)
群众之年，稳麦团结年，穆敏群众年（哈三.伊本.阿里放弃继承并效忠托给穆阿维叶当作哈里发；661年）	عَامُ الْجَمَاعَةِ (الْعَامُ الَّذِي تَنَازَلَ فِيهِ الْحَسَنُ ابْنِ عَلِيٍّ  لِمُعَاوِيَة بْنَ أَبِي سُفْيَان بِالْخِلَافَة  عام 41هـ)
撒马尔罕战役，撒马尔罕征服（711~712）	فَتْحُ سَمَرْقَنْد، فُتُوحُ سَمَرْقَنْد، وَقَائِعُهَا (93هـ)
赛巴斯透珀勒斯战役（倭马亚王朝与拜占庭帝国之间的战役；土耳其西南部；692年）	مَعْرَكَةُ سبياستوبولس (بَيْنَ الدَّوْلَةِ الْأُمَوِيَّةِ والدَّوْلَةِ الْبِيزَنْطِيَّةِ؛ 73هـ)
赛努西运动，神圣义务运动（利比亚）	الْحَرَكَةُ السِّنُوسِيَّةُ (فِي لِيبِيَّا)
森塔战役（奥地利军队与奥斯曼军队战役；1697）	مَعْرَكَةُ زَانطة (بَيْنَ التَّحَالُفِ المُقَدَّسِ الأُورُبيِّ وَقُوَّاتِ الدَّوْلَةِ الْعُثْمَانِيَّةِ؛ 1108هـ)
圣战者运动（首创于19世纪印度伊斯兰运动）	حَرَكَةُ الْمُجَاهِدِينَ (حَرَكَةٌ هِنْدِيَّةٌ إِسْلَامِيَّةٌ فِي الْقَرْنِ التَّاسِعَ عَشَر)
隋芬之战（穆斯林之间的战役；叙利亚；658年）	مَعْرَكَةُ صُفِّين، وَقْعَةُ صُفِّين (بَيْنَ الْمُسْلِمين؛ الْعِرَاق؛ 37هـ)
坦志麦特，奥斯曼改革时期（1839~1976）	التَّنْظِيمَاتُ الْعُثْمَانِيَّةُ، فَتْرَةُ الْإِصْلَاحَاتِ الْعُثْمَانِيَّةِ (1254~1395هـ)
图尔战役，普瓦捷战役（73年在法国南部，穆斯林军队在阿卜杜拉赫曼.哈斐济将军领带下与十字军对在查理·马特将军领带下发生的重大战役）	مَعْرَكَةُ بَلَاطِ الشُّهَدَاءِ، مَعْرَكَةُ تُور، مَعْرَكَةُ بُوَاتِييه (114هـ، بين الْمُسْلِمِينَ بِقِيَادَةِ عَبْدِ الرَّحْمَن الْغَافِقِيّ، وَالْفِرِنْجَةِ بِقِيَادَةِ شَارْل مَارْتَل فِي جَنُوبِ فَرنْسَا)
瓦尔纳战役（奥斯曼帝国军队与欧洲一些联盟军队，1444）	مَعْرَكَةُ فارنا (بَيْنَ قُوَّاتِ الدَّوْلَةِ الْعُثْمَانِيَّةِ وَقُوَّاتٍ أُورُبِّيَّةٍ مُتَحَالِفَةٍ في المجر؛ 874هـ)
瓦哈比派运动，清净教派复苏主义（沙特__18世纪）	الْحَرَكَةُ الْوَهَّابِيَّةُ (فِي السُّعُودِيَّة فِي الْقَرْنِ الثَّامِنَ عَشَر)
雅穆克之战，耶尔穆克（穆斯林与罗马军队；约旦；636年）	مَعْرَكَةُ الْيَرْمُوك، وَاقِعَةُ الْيَرْمُوك (بَيْنَ الْمُسْلِمين وَالرُّوم؛ الْأُرْدُن؛ 15هـ)
亚玛玛战役‎（穆斯林与反叛人；阿拉伯半岛；632年）	مَعْرَكَةُ الْيَمَامَةِ، مَعْرَكَةُ عَقْرِبَاء (بَيْنَ الْمُسْلِمِين وَالْمُرْتَدِّين فِي الْجَزِيرَةِ الْعَرَبِيَّةِ؛ 11هـ)
耶尔穆克之战，雅穆克之战（穆斯林与罗马军队；约旦；636年）	مَعْرَكَةُ الْيَرْمُوك، وَاقِعَةُ الْيَرْمُوك (بَيْنَ الْمُسْلِمين وَالرُّوم؛ الْأُرْدُن؛ 15هـ)
印度马赫迪运动	حَرَكَةُ الْمَهْدِيَّةِ الْهِنْدِيَّةِ
栽德派起义（伊拉克，1935年）	ثَوْرَةُ الزَّيْدِيِّينَ ثَوْرَةُ الْأَزِيدِيِّينَ (الْعِرَاق؛ 1353هـ)
宰迪业革命（伊拉克近代革命—1935年）	الثَّوْرَةُ الْيَزِيدِيَّةُ (الْعِرَاق؛ 1354هـ)
赞吉起义，黑奴起义（伊拉克巴士拉等城市，869~883年）	ثَوْرَةُ الزِّنْجِ (الْعِرَاق؛ 255~270هـ)
扎卜战役‎（穆斯林之间的战役；伊拉克；750年）	مَعْرَكَةُ الزَّابِ الْكُبْرَى، مَعْرَكَةُ الزَّابِ الْأَعْلَى (بَيْنَ الْمُسْلِمين؛ الْعِرَاق؛ 132هـ)
爪哇战争（1825~1930年）	حَرْبُ جَاوَةُ (1343~1348هـ)
祖拜尔起义（指：马尔万.本.哈坎和祖拜尔圣门弟子之间的分歧；682年）	ثَوْرَةُ بْنِ الزُّبَيْر (تُشِيرٌ لِلنِّزَاعِ الَّذِي حَدَثَ بَيْنَ مَرَوَانُ بْنُ الْحَكَم وَالصَّحَابِيّ الْجَلِيلِ الزُّبَيرُ بْنُ الْعَوَّام  سَنَة 63هـ)
伊斯兰各地不同帝国、王朝、酋长等	الِامْبِرَاطُورِيَّاتُ، وَالْمَمَالِكُ، وَالْإِمَارَاتُ الْإِسْلَامِيَّةُ الْمُخْتَلِفَةُ
阿巴德王朝（统治安达卢斯和摩洛哥的一个王朝；1013~1091）	بَنُو عَبَّاد، الْعَبَّادِيُّونَ (سُلَالَةٌ حَكَمَتْ بِالْأَنْدَلُسِ وَالْمَغْرِب؛ 403~483هـ)
阿巴斯哈里发，阿巴斯王朝，阿拔斯王朝，黑衣大食（巴格达750~1258/埃及马穆鲁克1261~1517）	الْخِلَافَةُ الْعَبَّاسِيَّةُ، الْعَصْرُ الْعَبَّاسِيُّ، الْعَرَبُ الْعَبَّاسِيُّون، ذَوُو الرَّايَاتِ السُّود "تَسْمِيَةٌ صِينِيَّة" (فِي بَغْدَاد 132~655هـ/ فِي مِصْرَ بِالدَّوْلَة الْمَمْلُوكِيَّة 659~922هـ)
阿拔斯王朝；参见：“阿巴斯哈里发”	الْعَصْرُ الْعَبَّاسِيُّ (راجع مادة: الْخِلَافَةُ الْعَبَّاسِيَّةُ)
阿卜德.瓦德王朝；参见：“左农王朝”	دَوْلَةُ بَنِي عَبْدِ الْوَادِ (راجع مادة: الزِّيَانِيُّونَ)
阿尔摩哈德王朝；参见：“穆瓦希德王朝”	الدَّوْلَةُ الْمُوَحِّدِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
阿尔摩拉维德王朝；参见：“穆拉比特王朝”	الدَّوْلَةُ الْمُرَابِطِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
阿尔图格王朝，尔图格王朝（创建在土耳其东部和伊拉克北部王朝；1122~1408）	الدَّوْلَةُ الْأَرْتَقِيَّةُ (فِي شَرْقِ تُرْكِيَا وَشَمَالَ الْعِرَاق؛ 515~811هـ)
阿夫沙尔王朝（伊朗王朝之一,1736~1796）	الدَّوْلَةُ الْأَفْشَارِيَّةُ (في إِيرَان؛ 1149~1211هـ)
阿克.科雍鲁；参见：“白羊王朝”	دَوْلَةُ آق قويونلو (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
阿拉伯帝国“西方专称”参见：“伊斯兰哈里发国”	الِامْبِرَاطُورِيَّةُ الْعَرَبِيَّةُ "تَسْمِيَّةٌ غَرْبِيَّةٌ" (راجع مادة: الْخِلَافَةُ الْإِسْلَامِيَّةُ)
阿拉维王朝（摩洛哥王朝，1668~….至今）	الدَّوْلَةُ الْعَلَوِيَّةُ (في الْمَغْرِبِ الْعَرَبِيّ 1668~ ... إلَى الْآن)
阿斯基亚王朝（非洲西部；1493年后至1591年）	السُّلَالَةُ الْأَسْكِيَّةُ (Askia Dynasty؛ سُلَالَةٌ حَكَمَت غَرْبَ أفْرِيقْيَا بَعْدَ عام898 وحتى عام 999هـ)
阿塔比克王朝；参见：“赞吉王朝”	الدَّوْلَةُ الْأَتَابِكِيَّةُ (راجع مادة: الدَّوْلَةُ الزِّنْكِيَّة)
阿尤布王朝（埃及和沙母地区；1174~1252年）	الدَّوْلَةُ الْأَيُّوبِيَّةُ (فِي مِصْرَ وَالشَّامِ؛ 569~649هـ)
艾格莱卜王朝（阿拉伯伊斯兰教王朝，统治北非西部；800~909年）	الدَّوْلَةُ الْأَغْلَبِيَّةُ (سُلَالَةٌ عَرَبِيَّةٌ حَكَمَتْ الْمَغْرِبَ الْعَرَبِيّ بَيْنَ أَعْوَام 183~297هـ)
奥斯曼帝国（西方专称）参见：“奥斯曼哈里发”	الِامْبِرَاطُورِيَّةُ الْعُثْمَانِيَّةُ "تَسْمِيَّةٌ غَرْبِيَّةٌ" (راجع مادة: الْخِلَافَةُ الْعُثْمَانِيَّةُ)
奥斯曼哈里发，奥斯曼帝国（土耳其、欧洲中部、北非直至突尼斯和沙母地区直至两圣地和也门北部；1299~1923年）	الْخِلَافَةُ الْعُثْمَانِيَّةُ، الدَّوْلَةُ الْعُثْمَانِيَّةُ، الِامْبِرَاطُورِيَّةُ الْعُثْمَانِيَّةُ  (في تُرْكِيَا وَالْأَنَاضُولِ وَوَسَطِ أَورُبّا وَشَمالِ الْجَزِيرَةِ الْعَرَبِيَّةِ حَتَّى الْحَرَمَيْنِ وشَمَالِ الْيَمَنِ، وَشَمَالِ أَفْرِيقِيَّا حتّى تُونُس؛ 698~1342هـ)
巴赫曼王朝（马穆鲁克王朝的分支；统治了埃及、沙母地区、伊拉克和利比亚等地；1250~1382年）	الْمَمَالِيكُ الْبَحْرِيَّةُ (فَرْعٌ عَنْ سُلَالَةِ الْمَمَالِيكِ؛ حَكَمُوا مِصْرَ وَشَمَالَ السُّودَانِ، وَشَمَالَ لِيبِيّا، وَالشَّامَ، وَالْعِرَاقَ بَيْنَ أَعْوَام 647~783هـ)
白羊王朝，阿克.科雍鲁（统治了土耳其东部、伊朗、阿塞拜疆和突厥斯坦等地的突厥伊斯兰王朝；1378~1508年）	دَوْلَةُ آق قويونلو، أو دَوْلَةُ الْخِرَافِ الْبِيض (سُلَالَةٌ إِسْلَامِيَّةٌ تُرْكُمَانِيَّةٌ حَكَمَتْ شَرْقَ تُرْكِيا وَإِيرَانَ وَأَذْرَبِيجَانَ وَوَسْط آسيا؛ 779~913هـ)
白益王朝；参见：“布维希王朝”	بَنُو بُوَيْهٍ (راجع مادة: الدَّوْلَةُ الْبُوَيْهِيَّةُ)
拜占庭帝国，西罗马帝国，鲁姆国 （395~1453年间）	الِامْبِرَاطُورِيَّةُ الْبِيزَنْطِيَّةُ، الدَّوْلَةُ الرُّومَانِيَّةُ الشَّرْقِيَّةُ (395~1453م)
博尔努王国（1380~1893）	مَمْلَكَةُ برنو (781~1310هـ)
布哈拉汗国（阿斯特拉罕汗国，乌兹别克汗国，统治了布哈拉城市和周围地区；1500~1920）	خَانِيَّةُ بُخَارَى (وتَشْمَل: الشَّيْبَانِيُّونَ، وَخَانات اسْتِرَاخان، وغيرها؛ 905~1338هـ)
布韦希王朝；参见：“布维希王朝”	الدَّوْلَةُ الْبُوَيْهِيَّةُ  (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
布维希王朝，白益王朝，布韦希王朝（932~1062年，统治伊朗西部和伊拉克的萨曼王朝）	الدَّوْلَةُ الْبُوَيْهِيَّةُ، بَنُو بوَيْهٍ (بَقَايا الدَّوْلَةِ السَّامَانِيَّةِ والَّتِي حَكَمَتْ غَرْبَ إِيرَانَ وَ الْعِرَاق؛ 319~453هـ)
察合台汗国（察合台汗在1183~1242 年之间所成立的汗国）	دَوْلَةُ جَاغَاطَاي خَان (الدَّوْلَةُ التِي أنْشَأَهَا جَاغَاطَاي خَان، الِابْنُ الثَّانِي لِجِنْكِيز خَان؛ 579~640هـ)
淡目国（印尼伊斯兰素丹国，1527~1582）	سَلْطَنَةُ دِيمَاك (إحْدَى السَّلاطِينِ الْإِسْلَامِيةِ في إِنْدُونِيسْيَا؛ 923~989هـ)
淡目国，宾塔腊（(1478～1586，印度尼西亚第一个伊斯兰教王国）	سَلْطَنَةُ دِيمَاك (أَوَّلُ سَلْطَنَةٍ إِسْلاَمِيَّةٍ فِي جَزِيرَةِ جَاوَة بِإِنْدُونِيسْيَا؛ 883~994هـ)
德拉伊耶酋长国，内志第一王国，第一沙特（1744~1818）	إِمَارَةُ الدَّرْعِيَّةِ، الدَّوْلَةُ السُّعودِيَّةُ الْأُولَى، مَمْلَكَةُ نَجْدِ الْأُولَى (1157~1233هـ)
德里苏丹国（印度很多地区；1206~1527年）	سَلْطَنَةُ دِلْهِي (مُعْظَمَ أَجْزَاءَ الْهِنْد؛ 602~933هـ)
德里苏丹国奴隶王朝（1206~1290）	سُلَالَةُ الْمَمَالِيكِ بِسَلْطَنَةِ دِلْهِي (602~688هـ)
蒂多雷苏丹国（1081~1950）	سلْطَنَةُ تِيدُور (473~1369هـ)
东察合台汗国（14~16世纪，新疆地区的一个封建穆斯林国家）	دَوْلَةُ جَاغَاطَاي خَان الشَّرْقيَّة (إحْدَى الدُّوَلُ الَّتِي قَامَتْ فِي شِينْجِيَانْغ فِي أَوَاسِطِ الْقَرْنِ الرَّابِعَ عَشَر وحَتَّى الْقَرْنِ السَّادِسَ عَشَر)
东萨拉森帝国（西方专称）；阿巴斯王朝，阿拔斯王朝（750~1258）	الدَّوْلَةُ الْعَبَّاسِيَّةُ، دَوْلَةُ سَرَاكِينُوسِ الشَّرْقيَّةِ (اسْمٌ غَرْبِيٌّ لِلدَّوْلَةِ الْعَبَّاسِيَّةِ؛ 132~637هـ)
杜兰尼王国，萨多查依王朝（阿富汗近代伊斯兰王朝之一；1747~1826年）	الدَّوْلَةُ الدَّرَانِيَّةُ، السُّلَالَةُ الدَّرَانِيَّةُ، آلُ دَرَانِي (سُلَالَة ٌ أَسَّسَهَا أَحْمَدُ شاه الدَّرَانِيُّ فِي أَفْغَانِسْتَان؛ 1160~1242هـ)
尔图格王朝；参见：“阿尔图格王朝”	الدَّوْلَةُ الْأَرْتَقِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
法蒂玛王朝；南萨拉森帝国（西方专称）；绿衣大食（中国专称）（统治北非的什叶派王朝；909~1171）	الدَّوْلَةُ الْفَاطِمِيَّةُ، الْخِلَافَةُ الْفَاطِمِيَّة "عِندَ الشِّيعَة"، الدَّوْلَةُ الْعُبَيْدِيَّةُ، دَوْلَة سَرَاكِينوس الْجَنُوبِيّة"تَسْمِيَّةٌ غَرْبِيَّةٌ"، دَوْلَةُ الْعِلْم الْأخْضَر "تَسْمِيَةٌ صِينِيَّة" (سُلَالَةٌ شِيعِيَّةٌ قَامَت فِي شَمَالِ أَفْرِيقْيَّا؛ 296~566هـ)
芬吉王国；参见：“丰吉苏丹国”	الدَّوْلَةُ الْفُونْجِيَّةُ (راجع مادة مَمْلَكةُ الْفُنْج)
丰吉苏丹国，芬（分）吉王朝（中非伊斯兰王朝；1504~1821）	مَمْلَكةُ الْفُنْج، سَلْطَنَةُ سنار، مَمْلَكَةُ السِّنَّار، السَّلْطَنَةُ الزَّرْقَاء (وَسَط أفْرِيقْيَا 909~1236هـ)
伏尔加保加利亚（或伏尔加伊斯兰王国，8世纪~1239年）	مَمْلَكَةُ الصَّقَالِبَةِ (أو مَمْلَكَةُ الْبُلْقَارِ الْإِسْلَامِيَّةِ أو فُولْغَا بُلْغَارِيا، مِنَ الْقَرْنِ الثَّانِيّ الْهِجْرِيّ إِلَى عَامِ 637هـ)
伽色尼王朝；参见：“伽兹尼王朝”	الدَّوْلَةُ الْغَزْنَوِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
伽兹尼王朝，亦写：哥疾宁王朝，加兹尼王朝（中亚地区的伊斯兰王朝；963~1187年）	الدَّوْلَةُ الْغَزْنَوِيَّةُ (دَوْلَةٌ إِسْلَامِيَّةٌ حَكَمَتْ وَسَطَ آسْيَا؛ 351~582هـ)
哥疾宁王朝；参见：“伽兹尼王朝”	الدَّوْلَةُ الْغَزْنَوِيَّةُ (رَاجِعْ نَفْسَ الْمَادَّةِ فِي مَوْضِعٍ آخَر)
格拉纳达艾米尔国（安达卢斯的一个王朝；1438~1493）	إِمَارَةُ غِرْنَاطةُ (إِحْدَى إِمَارَاتُ الْأَنْدَلُس؛ 635~898هـ)
古尔王朝（阿富汗和印度的一个王朝， 879前~1215）	الدَّوْلَةُ الْغُورِيَّةُ، الْغُورِيُّونَ، الشِّينْسَبَانِيُّونَ (حَكَمَتْ أَفْغَانِسْتَانَ وَشَمَالَ الْهِنْد؛ قَبْل 265~611هـ)
哈夫斯王朝（突尼斯；1228~1573年）	الدَّوْلَةُ الْحَفْصِيَّةُ (تُونُس؛ 627~982هـ)
哈里发国；参见：“伊斯兰哈里发国”	دَوْلَةُ الْخِلَافَةُ (راجع مادة: الْخِلَافَةُ الْإِسْلَامِيَّةُ)
哈烈国；参见：“帖木儿帝国”	مَمَلَكَةُ هَرَاة (راجع ماد: الدَّوْلَةُ التَّيْمُورِيَّةُ)
